,prodouct name,prices,description,rating
66,HOTLINE Power,₹549,32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display0.3MP Rear Camera3000 mAh Battery3 Months Manufacturer warranty,3.9
67,"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)","₹16,999",6 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 13MP Front Camera5500 mAh BatteryDimensity 7300 Ultimate Processor1 Year Warranty for Handset and 6 Months Warranty for Accessories,4.4
68,"MOTOROLA g06 power (Tapestry, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
69,"POCO M6 Plus 5G (Graphite Black, 128 GB)","₹10,780",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display108MP + 2MP | 13MP Front Camera5030 mAh BatterySnapdragon 4 Gen2 AE Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
70,"POCO M7 5G (Satin Black, 128 GB)","₹9,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
71,"realme Narzo 80 Lite 4G (Beach Gold, 128 GB)","₹8,128",6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) HD+ Display13MP Rear Camera6300 mAh Battery1 year brand Warranty,4.3
72,"vivo T4 5G (Phantom Grey, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera7300 mAh BatterySnapdragon 7s Gen 3 5G Processor1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories,4.5
73,"POCO C75 5G (Silver Stardust, 128 GB)","₹8,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
74,"realme 15x 5G (Marine Blue, 256 GB)","₹20,499",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB17.27 cm (6.8 inch) Display50MP Rear Camera | 50MP Front Camera7000 mAh BatteryDimensity 6300 6nm Octa-core chipset Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
75,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,199",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP | 0MP Front Camera1000 mAh BatterySC6531E Processor1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES,3.8
